Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade,Prerequisite_2_grade,Prerequisite_3_grade,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
PG,Swinburne University of Technology,Hawthorn,Master of Finance,Business & Commerce & Finance & Accounting,36480,,AUD,year,,,,,IELTS,,,6.5,,,https://search.swinburne.edu.au/s/redirect?collection=swinburne-courses&url=https%3A%2F%2Fwww.swinburne.edu.au%2Fstudy%2Fcourse%2FMaster-of-Finance-MA-FIN%2Flocal&auth=Gw3LnzqLdxzkE1GAv3wbrw&profile=_default&rank=1&query=postgraduate+AccreditationStatus%3Acurrent+%7C%5BCourseTypes%3A%22%24%2B%2B+certificate+%24%2B%2B%22+CourseTypes%3A%22%24%2B%2B+master+by+coursework+%24%2B%2B%22+CourseTypes%3A%22%24%2B%2B+master+by+research+%24%2B%2B%22+CourseTypes%3A%22%24%2B%2B+postgraduate+%24%2B%2B%22%5D+%7C%5BStudyLevel%3A%22%24%2B%2B+master%2C+phd+and+graduate+study+%24%2B%2B%22+StudyLevel%3A%22%24%2B%2B+research+%24%2B%2B%22%5D+%7C%5BResidency%3A%22%24%2B%2B+international+%24%2B%2B%22+Residency%3A%22%24%2B%2B+local+%24%2B%2B%22%5D+%7CAccreditationStatus%3A%22%24%2B%2B+current+%24%2B%2B%22,English,A,,,Australia,no,yes,yes,yes,yes,[]
PG,Swinburne University of Technology,Hawthorn,Master of Physiotherapy,Computer Science & Information Technology,2,"41,598",AUD,year,,,,,IELTS,,,6.5,,,https://search.swinburne.edu.au/s/redirect?collection=swinburne-courses&url=https%3A%2F%2Fwww.swinburne.edu.au%2Fstudy%2Fcourse%2FMaster-of-Physiotherapy-MA-PHYS%2Flocal&auth=DuxUAPyrdUXC4WJwHyhKmA&profile=_default&rank=2&query=postgraduate+AccreditationStatus%3Acurrent+%7C%5BCourseTypes%3A%22%24%2B%2B+certificate+%24%2B%2B%22+CourseTypes%3A%22%24%2B%2B+master+by+coursework+%24%2B%2B%22+CourseTypes%3A%22%24%2B%2B+master+by+research+%24%2B%2B%22+CourseTypes%3A%22%24%2B%2B+postgraduate+%24%2B%2B%22%5D+%7C%5BStudyLevel%3A%22%24%2B%2B+master%2C+phd+and+graduate+study+%24%2B%2B%22+StudyLevel%3A%22%24%2B%2B+research+%24%2B%2B%22%5D+%7C%5BResidency%3A%22%24%2B%2B+international+%24%2B%2B%22+Residency%3A%22%24%2B%2B+local+%24%2B%2B%22%5D+%7CAccreditationStatus%3A%22%24%2B%2B+current+%24%2B%2B%22,English,A,"Physiotherapy is one of the fastest-growing and evolving fields in the health industry. In the Master of Physiotherapy, you’ll be equipped with the skills and knowledge as informed by current and emerging evidence to become a confident, resilient and enterprising physiotherapist. You’ll gain an authentic experience of working in clinical environments and health care systems through four clinic practice placements and a work immersive program within a community setting. You’ll also undertake units in digital health and technology, business, leadership, and enterprise that will build your capacity for work readiness and empower you to drive innovation in the field. Self-evaluation and reflection will be encouraged with a ‘Knowing Self’ unit, where you’ll be paired with physiotherapy mentors to help you become an agile, engaged and capable health professional. The Master of Physiotherapy program is an accredited and approved program by the Australian Physiotherapy Council and is endorsed by the Australian Physiotherapy Board.",,Australia,no,yes,yes,yes,yes,[]
PG,Swinburne University of Technology,Hawthorn,Master of Science (Network Systems),Computer Science & Information Technology,26070,"32,880",AUD,year,,,,,IELTS,,,6.5,,,https://search.swinburne.edu.au/s/redirect?collection=swinburne-courses&url=https%3A%2F%2Fwww.swinburne.edu.au%2Fstudy%2Fcourse%2FMaster-of-Science-%28Network-Systems%29-MA-SNS%2Flocal&auth=3Dxf6YWeykn25ntk5lw7Mw&profile=_default&rank=3&query=postgraduate+AccreditationStatus%3Acurrent+%7C%5BCourseTypes%3A%22%24%2B%2B+certificate+%24%2B%2B%22+CourseTypes%3A%22%24%2B%2B+master+by+coursework+%24%2B%2B%22+CourseTypes%3A%22%24%2B%2B+master+by+research+%24%2B%2B%22+CourseTypes%3A%22%24%2B%2B+postgraduate+%24%2B%2B%22%5D+%7C%5BStudyLevel%3A%22%24%2B%2B+master%2C+phd+and+graduate+study+%24%2B%2B%22+StudyLevel%3A%22%24%2B%2B+research+%24%2B%2B%22%5D+%7C%5BResidency%3A%22%24%2B%2B+international+%24%2B%2B%22+Residency%3A%22%24%2B%2B+local+%24%2B%2B%22%5D+%7CAccreditationStatus%3A%22%24%2B%2B+current+%24%2B%2B%22,English,A,,,Australia,no,yes,yes,yes,yes,[]
PG,Swinburne University of Technology,Hawthorn,Master of Marketing,Business & Commerce & Finance & Accounting,37480,"32,880",AUD,year,,,,,IELTS,,,6.5,,,https://search.swinburne.edu.au/s/redirect?collection=swinburne-courses&url=https%3A%2F%2Fwww.swinburne.edu.au%2Fstudy%2Fcourse%2FMaster-of-Marketing-MA-MKT1%2Flocal&auth=hV8%2F%2FLSfbb%2BkPlMrHomLZA&profile=_default&rank=4&query=postgraduate+AccreditationStatus%3Acurrent+%7C%5BCourseTypes%3A%22%24%2B%2B+certificate+%24%2B%2B%22+CourseTypes%3A%22%24%2B%2B+master+by+coursework+%24%2B%2B%22+CourseTypes%3A%22%24%2B%2B+master+by+research+%24%2B%2B%22+CourseTypes%3A%22%24%2B%2B+postgraduate+%24%2B%2B%22%5D+%7C%5BStudyLevel%3A%22%24%2B%2B+master%2C+phd+and+graduate+study+%24%2B%2B%22+StudyLevel%3A%22%24%2B%2B+research+%24%2B%2B%22%5D+%7C%5BResidency%3A%22%24%2B%2B+international+%24%2B%2B%22+Residency%3A%22%24%2B%2B+local+%24%2B%2B%22%5D+%7CAccreditationStatus%3A%22%24%2B%2B+current+%24%2B%2B%22,English,A,"With the rise of data, digital and other technology trends, the demand for those with postgraduate qualifications marketing is increasing.",,Australia,no,yes,yes,yes,yes,[]
PG,Swinburne University of Technology,Hawthorn,Master of Engineering Science,Engineering,1,"9,527",AUD,year,,,,,IELTS,,,6.5,,,https://search.swinburne.edu.au/s/redirect?collection=swinburne-courses&url=https%3A%2F%2Fwww.swinburne.edu.au%2Fstudy%2Fcourse%2FMaster-of-Engineering-Science-MA-ENGSC%2Flocal&auth=WWBGOvO2VJQLqHRb4l1JuQ&profile=_default&rank=6&query=postgraduate+AccreditationStatus%3Acurrent+%7C%5BCourseTypes%3A%22%24%2B%2B+certificate+%24%2B%2B%22+CourseTypes%3A%22%24%2B%2B+master+by+coursework+%24%2B%2B%22+CourseTypes%3A%22%24%2B%2B+master+by+research+%24%2B%2B%22+CourseTypes%3A%22%24%2B%2B+postgraduate+%24%2B%2B%22%5D+%7C%5BStudyLevel%3A%22%24%2B%2B+master%2C+phd+and+graduate+study+%24%2B%2B%22+StudyLevel%3A%22%24%2B%2B+research+%24%2B%2B%22%5D+%7C%5BResidency%3A%22%24%2B%2B+international+%24%2B%2B%22+Residency%3A%22%24%2B%2B+local+%24%2B%2B%22%5D+%7CAccreditationStatus%3A%22%24%2B%2B+current+%24%2B%2B%22,English,A,"Develop specialised technical knowledge in your engineering field or expand your expertise into a related engineering discipline. The Master of Engineering Science builds on your existing engineering studies and knowledge. The course will expand your professional skills and is designed to prepare you to complete independent research work. Select a specialisation from one of six options: Advanced Manufacturing, Civil Engineering, Electrical and Electronic Engineering, Mechanical Engineering, Network Systems and Telecommunications or Structural Engineering.",,Australia,no,yes,yes,yes,yes,[]
PG,Swinburne University of Technology,Hawthorn,Master of Engineering,Engineering,37480,"9,527",AUD,year,,,,,IELTS,,,6.5,,,https://search.swinburne.edu.au/s/redirect?collection=swinburne-courses&url=https%3A%2F%2Fwww.swinburne.edu.au%2Fstudy%2Fcourse%2FMaster-of-Engineering-MA-ENG%2Flocal&auth=fK1IAKHzHPbZaxNKBOC4fQ&profile=_default&rank=7&query=postgraduate+AccreditationStatus%3Acurrent+%7C%5BCourseTypes%3A%22%24%2B%2B+certificate+%24%2B%2B%22+CourseTypes%3A%22%24%2B%2B+master+by+coursework+%24%2B%2B%22+CourseTypes%3A%22%24%2B%2B+master+by+research+%24%2B%2B%22+CourseTypes%3A%22%24%2B%2B+postgraduate+%24%2B%2B%22%5D+%7C%5BStudyLevel%3A%22%24%2B%2B+master%2C+phd+and+graduate+study+%24%2B%2B%22+StudyLevel%3A%22%24%2B%2B+research+%24%2B%2B%22%5D+%7C%5BResidency%3A%22%24%2B%2B+international+%24%2B%2B%22+Residency%3A%22%24%2B%2B+local+%24%2B%2B%22%5D+%7CAccreditationStatus%3A%22%24%2B%2B+current+%24%2B%2B%22,English,A,"Develop specialised technical knowledge in your engineering field or expand your expertise into a related engineering discipline. The Master of Engineering builds on your existing engineering studies and knowledge, and expands your professional skills. Select a specialisation from one of six options: Advanced Manufacturing, Civil Engineering, Electrical and Electronic Engineering, Mechanical Engineering, Network Systems and Telecommunications or Structural Engineering. Depending on your chosen specialisation, you’ll graduate with the skills and knowledge to pursue work as a professional engineer in a range of areas, including electrical power generation, safety and distribution, renewable energy systems, systems and embedded design, mechanical systems design, manufacturing systems design, telecommunication networks design, civil engineering project management, structural engineering and construction.",,Australia,no,yes,yes,yes,yes,[]
PG,Swinburne University of Technology,Hawthorn,Master of Media and Communication,Mass Communication & Media,31600,"6,684",AUD,year,,,,,IELTS,,,6.5,,,https://search.swinburne.edu.au/s/redirect?collection=swinburne-courses&url=https%3A%2F%2Fwww.swinburne.edu.au%2Fstudy%2Fcourse%2FMaster-of-Media-and-Communication-MA-MCO%2Flocal&auth=jbvxqjN5r9CPAa76N%2FqLhA&profile=_default&rank=8&query=postgraduate+AccreditationStatus%3Acurrent+%7C%5BCourseTypes%3A%22%24%2B%2B+certificate+%24%2B%2B%22+CourseTypes%3A%22%24%2B%2B+master+by+coursework+%24%2B%2B%22+CourseTypes%3A%22%24%2B%2B+master+by+research+%24%2B%2B%22+CourseTypes%3A%22%24%2B%2B+postgraduate+%24%2B%2B%22%5D+%7C%5BStudyLevel%3A%22%24%2B%2B+master%2C+phd+and+graduate+study+%24%2B%2B%22+StudyLevel%3A%22%24%2B%2B+research+%24%2B%2B%22%5D+%7C%5BResidency%3A%22%24%2B%2B+international+%24%2B%2B%22+Residency%3A%22%24%2B%2B+local+%24%2B%2B%22%5D+%7CAccreditationStatus%3A%22%24%2B%2B+current+%24%2B%2B%22,English,A,"The world of media and communication is changing at breakneck speed. Get one step ahead of the change with our Master of Media and Communication. In this course, theory meets practice. You’ll gain a range of media production skills and the digital technology, professional development, research and project management skills that can take your career to the next level. Choose to specialise in media practice, strategic communication or social media management. Plus, build your relationships with industry and external stakeholders before you graduate with an industry-based media project.  Graduate ready to move up, or across, into a career in public relations, media and communications, journalism, publishing, broadcasting, production, radio, research or web development.",,Australia,no,yes,yes,yes,yes,[]
PG,Swinburne University of Technology,Hawthorn,Master of Finance,Business & Commerce & Finance & Accounting,36480,"6,684",AUD,year,,,,,IELTS,,,6.5,,,https://search.swinburne.edu.au/s/redirect?collection=swinburne-courses&url=https%3A%2F%2Fwww.swinburne.edu.au%2Fstudy%2Fcourse%2FMaster-of-Finance-MA-FIN%2Finternational&auth=SAbRjzrDAzxgmGC2e5hBvA&profile=_default&rank=9&query=postgraduate+AccreditationStatus%3Acurrent+%7C%5BCourseTypes%3A%22%24%2B%2B+certificate+%24%2B%2B%22+CourseTypes%3A%22%24%2B%2B+master+by+coursework+%24%2B%2B%22+CourseTypes%3A%22%24%2B%2B+master+by+research+%24%2B%2B%22+CourseTypes%3A%22%24%2B%2B+postgraduate+%24%2B%2B%22%5D+%7C%5BStudyLevel%3A%22%24%2B%2B+master%2C+phd+and+graduate+study+%24%2B%2B%22+StudyLevel%3A%22%24%2B%2B+research+%24%2B%2B%22%5D+%7C%5BResidency%3A%22%24%2B%2B+international+%24%2B%2B%22+Residency%3A%22%24%2B%2B+local+%24%2B%2B%22%5D+%7CAccreditationStatus%3A%22%24%2B%2B+current+%24%2B%2B%22,English,A,,,Australia,no,yes,yes,yes,yes,[]
PG,Swinburne University of Technology,Hawthorn,Master of Project Management,Business & Commerce & Finance & Accounting,36480,"6,684",AUD,year,,,,,IELTS,,,6.5,,,https://search.swinburne.edu.au/s/redirect?collection=swinburne-courses&url=https%3A%2F%2Fwww.swinburne.edu.au%2Fstudy%2Fcourse%2FMaster-of-Project-Management-MA-PM1%2Flocal&auth=K87dSoiLgSJn7dMJnzrTWQ&profile=_default&rank=10&query=postgraduate+AccreditationStatus%3Acurrent+%7C%5BCourseTypes%3A%22%24%2B%2B+certificate+%24%2B%2B%22+CourseTypes%3A%22%24%2B%2B+master+by+coursework+%24%2B%2B%22+CourseTypes%3A%22%24%2B%2B+master+by+research+%24%2B%2B%22+CourseTypes%3A%22%24%2B%2B+postgraduate+%24%2B%2B%22%5D+%7C%5BStudyLevel%3A%22%24%2B%2B+master%2C+phd+and+graduate+study+%24%2B%2B%22+StudyLevel%3A%22%24%2B%2B+research+%24%2B%2B%22%5D+%7C%5BResidency%3A%22%24%2B%2B+international+%24%2B%2B%22+Residency%3A%22%24%2B%2B+local+%24%2B%2B%22%5D+%7CAccreditationStatus%3A%22%24%2B%2B+current+%24%2B%2B%22,English,A,,,Australia,no,yes,yes,yes,yes,[]
PG,Swinburne University of Technology,Hawthorn,Master of Design,Creative Arts & Design & Music,32600,"26,200",AUD,year,,,,,IELTS,,,6.5,,,https://search.swinburne.edu.au/s/redirect?collection=swinburne-courses&url=https%3A%2F%2Fwww.swinburne.edu.au%2Fstudy%2Fcourse%2FMaster-of-Design-MA-DESG%2Flocal&auth=2CywYqtDzHx%2Bf7Ue%2BLllyw&profile=_default&rank=11&query=postgraduate+AccreditationStatus%3Acurrent+%7C%5BCourseTypes%3A%22%24%2B%2B+certificate+%24%2B%2B%22+CourseTypes%3A%22%24%2B%2B+master+by+coursework+%24%2B%2B%22+CourseTypes%3A%22%24%2B%2B+master+by+research+%24%2B%2B%22+CourseTypes%3A%22%24%2B%2B+postgraduate+%24%2B%2B%22%5D+%7C%5BStudyLevel%3A%22%24%2B%2B+master%2C+phd+and+graduate+study+%24%2B%2B%22+StudyLevel%3A%22%24%2B%2B+research+%24%2B%2B%22%5D+%7C%5BResidency%3A%22%24%2B%2B+international+%24%2B%2B%22+Residency%3A%22%24%2B%2B+local+%24%2B%2B%22%5D+%7CAccreditationStatus%3A%22%24%2B%2B+current+%24%2B%2B%22,English,A,,,Australia,no,yes,yes,yes,yes,[]
