Part_Time,Face_to_Face,Availability,Country,University,Distance,Level_Code,Faculty,Course,Course_Lang,Blended,Remarks,Prerequisite_2_grade,Website,Offline,Int_Fees,City,Duration_Time,Full_Time,Local_Fees,Online,Prerequisite_3_grade,Prerequisite_2,Currency_Time,Career_Outcomes,Description,Prerequisite_1_grade,Prerequisite_3,Duration,Currency,Prerequisite_1
yes,yes,A,Australia,Swinburne University of Technology,yes,BA,Business & Commerce & Finance & Accounting,Bachelor of Accounting,English,yes,[],6.0,https://search.swinburne.edu.au/s/redirect?collection=swinburne-courses&url=https%3A%2F%2Fwww.swinburne.edu.au%2Fstudy%2Fcourse%2Fbachelor-of-accounting%2F&auth=1%2Fvb8%2FWKaZa8QAdBd0Z2vg&profile=_default&rank=1&query=bachelor+-associate+AccreditationStatus%3Acurrent+%7CStudyLevel%3A%22%24%2B%2B+degrees+and+double+degrees+%24%2B%2B%22+%7CAccreditationStatus%3A%22%24%2B%2B+current+%24%2B%2B%22+%7C%5BResidency%3A%22%24%2B%2B+international+%24%2B%2B%22+Residency%3A%22%24%2B%2B+local+%24%2B%2B%22%5D,yes,31360,Hawthorn,Years,yes,"11,155",no,,IELTS,year,,"The Bachelor of Accounting allows students to develop skills that are fundamental to evaluating, analysing and communicating the financial position of an organisation or individual. The course is designed to prepare individuals in the core areas of financial accounting, management accounting, finance, tax and auditing, in addition to economics and commercial law. Students with studies in accounting find rewarding work in industry, commerce, the public sector, the financial industry or business consulting and public accounting.",60,,3,AUD,year 12
yes,yes,A,Australia,Swinburne University of Technology,yes,BA,Education,Bachelor of Education (Primary),English,yes,[],6.0,https://search.swinburne.edu.au/s/redirect?collection=swinburne-courses&url=https%3A%2F%2Fwww.swinburne.edu.au%2Fstudy%2Fcourse%2Fbachelor-of-education-primary%2F&auth=6Xx6ul5l81j%2Br8uTooeogQ&profile=_default&rank=2&query=bachelor+-associate+AccreditationStatus%3Acurrent+%7CStudyLevel%3A%22%24%2B%2B+degrees+and+double+degrees+%24%2B%2B%22+%7CAccreditationStatus%3A%22%24%2B%2B+current+%24%2B%2B%22+%7C%5BResidency%3A%22%24%2B%2B+international+%24%2B%2B%22+Residency%3A%22%24%2B%2B+local+%24%2B%2B%22%5D,yes,27560,Hawthorn,Years,yes,"6,684",no,,IELTS,year,,"The Bachelor of Education (Primary) develops an understanding of education, equipping students to become teachers who utilise the latest technology and teaching techniques to engage children across a range of subject disciplines. Through collaborative group activities and school based practical placements students develop the skills to design engaging and effective learning experiences. Students are taught to identify and address diversity; tailoring the learning experience to the needs of their learners. Graduates will have the skills, knowledge and dispositions to be pedagogical leaders, effective advocates for social justice and equity, capable teachers of children from 5 to 12 years in a variety of settings, and professionals whose practice is informed by critical reflection and ongoing learning.",70,,4,AUD,year 12
yes,yes,D,Australia,Swinburne University of Technology,yes,BA,Aviation,Bachelor of Aviation,English,yes,['ATAR is not published yet'],6.0,https://search.swinburne.edu.au/s/redirect?collection=swinburne-courses&url=https%3A%2F%2Fwww.swinburne.edu.au%2Fstudy%2Fcourse%2Fbachelor-of-aviation%2F&auth=%2Fj5VxZr458x2T9pQULsWiQ&profile=_default&rank=3&query=bachelor+-associate+AccreditationStatus%3Acurrent+%7CStudyLevel%3A%22%24%2B%2B+degrees+and+double+degrees+%24%2B%2B%22+%7CAccreditationStatus%3A%22%24%2B%2B+current+%24%2B%2B%22+%7C%5BResidency%3A%22%24%2B%2B+international+%24%2B%2B%22+Residency%3A%22%24%2B%2B+local+%24%2B%2B%22%5D,yes,27560,Hawthorn,Years,yes,"9,527",no,,IELTS,year,,"The Bachelor of Aviation will equip you for a professional career as a commercial pilot. You will undertake commercial flying training at CAE Australia Flight Training, located at Moorabbin Airport, to obtain your Commercial Pilot Licence and operate a multi-crew jet aircraft. Additional elective flying qualifications are available. You will study the theory units required by CASA up to and including Air Transport Pilot Licence (ATPL) standard, as well as studies in aviation human factors, aviation management and aviation technology.",RC,,3,AUD,year 12
yes,yes,A,Australia,Swinburne University of Technology,yes,BA,Law,Bachelor of Laws,English,yes,[],6.0,https://search.swinburne.edu.au/s/redirect?collection=swinburne-courses&url=https%3A%2F%2Fwww.swinburne.edu.au%2Fstudy%2Fcourse%2Fbachelor-of-laws%2F&auth=tQs4aH8nS1qfoD5G7hpv0Q&profile=_default&rank=4&query=bachelor+-associate+AccreditationStatus%3Acurrent+%7CStudyLevel%3A%22%24%2B%2B+degrees+and+double+degrees+%24%2B%2B%22+%7CAccreditationStatus%3A%22%24%2B%2B+current+%24%2B%2B%22+%7C%5BResidency%3A%22%24%2B%2B+international+%24%2B%2B%22+Residency%3A%22%24%2B%2B+local+%24%2B%2B%22%5D,yes,34000,Hawthorn,Years,yes,"11,155",no,,IELTS,year,,"The Bachelor of Laws focuses on commercial law with emphasis on intellectual property law. As the only degree in Victoria with this specialisation, students learn about trade marks, patents and designs, copyright, the prohibition of misleading or deceptive conduct and competition law. Students learn how to protect the rights of those who innovate or create.Students complete law-related professional experience placements at organisations in Australia or overseas. Students are also introduced to the practical aspects of legal practice through moot court scenarios and advocacy exercises.The degree equips students with the skills to work in commercial and general legal practice and in a range of industries, including media and entertainment, design, branding and advertising.",85,,4,AUD,year 12
no,yes,A,Australia,Swinburne University of Technology,yes,HONS,Science and Health Science,Bachelor of Science (Honours),English,yes,[],6.0,https://search.swinburne.edu.au/s/redirect?collection=swinburne-courses&url=https%3A%2F%2Fwww.swinburne.edu.au%2Fstudy%2Fcourse%2Fbachelor-of-science-honours%2F&auth=9mBZOzMAxQLuYmCFFG%2FGYw&profile=_default&rank=5&query=bachelor+-associate+AccreditationStatus%3Acurrent+%7CStudyLevel%3A%22%24%2B%2B+degrees+and+double+degrees+%24%2B%2B%22+%7CAccreditationStatus%3A%22%24%2B%2B+current+%24%2B%2B%22+%7C%5BResidency%3A%22%24%2B%2B+international+%24%2B%2B%22+Residency%3A%22%24%2B%2B+local+%24%2B%2B%22%5D,yes,35200,Hawthorn,Year,yes,"9,527",no,,IELTS,year,,"The primary focus of the Honours course in Science at Swinburne is on research skills with a mix of advanced theory, professional training, research training, and a research project leading to a thesis. An Honours degree in Science provides a competitive advantage for employment in research positions and is a requirement for studying at PhD level.",85,,1,AUD,year 12
yes,yes,A,Australia,Swinburne University of Technology,yes,BA,Medical and Nursing,Bachelor of Nursing,English,yes,[],6.0,https://search.swinburne.edu.au/s/redirect?collection=swinburne-courses&url=https%3A%2F%2Fwww.swinburne.edu.au%2Fstudy%2Fcourse%2Fbachelor-of-nursing%2F&auth=2VJxfyFItJ5BxoVD657Kfg&profile=_default&rank=6&query=bachelor+-associate+AccreditationStatus%3Acurrent+%7CStudyLevel%3A%22%24%2B%2B+degrees+and+double+degrees+%24%2B%2B%22+%7CAccreditationStatus%3A%22%24%2B%2B+current+%24%2B%2B%22+%7C%5BResidency%3A%22%24%2B%2B+international+%24%2B%2B%22+Residency%3A%22%24%2B%2B+local+%24%2B%2B%22%5D,yes,32600,Hawthorn,Years,yes,"6,684",no,,IELTS,year,,"We’ve designed our brand new Bachelor of Nursing to prepare you for the diversity and complexities of 21st century nursing. At Swinburne, you will benefit from our strengths in technology and innovation. Your clinical skills will be developed safely using simulation technology and realistic case studies, and you will undertake 800 hours of placement in a variety of clinical settings. Speciality study areas will include high acuity nursing, mental health services, aged and palliative care, rural and Indigenous health care, and family, paediatrics and primary health care. Small class sizes will provide you with individualised support and assessments will be approached with an authentic, real-world view – all to help you develop into a well-rounded professional. You’ll graduate as a registered nurse (RN) and be ready to pursue a career in a variety of settings, including tertiary hospitals, aged care, rural, remote or community health care.",65,,3,AUD,year 12
yes,yes,A,Australia,Swinburne University of Technology,yes,BA,Medical and Nursing,Bachelor of Nursing,English,yes,[],6.0,https://search.swinburne.edu.au/s/redirect?collection=swinburne-courses&url=https%3A%2F%2Fwww.swinburne.edu.au%2Fstudy%2Fcourse%2Fbachelor-of-nursing%2F&auth=2VJxfyFItJ5BxoVD657Kfg&profile=_default&rank=6&query=bachelor+-associate+AccreditationStatus%3Acurrent+%7CStudyLevel%3A%22%24%2B%2B+degrees+and+double+degrees+%24%2B%2B%22+%7CAccreditationStatus%3A%22%24%2B%2B+current+%24%2B%2B%22+%7C%5BResidency%3A%22%24%2B%2B+international+%24%2B%2B%22+Residency%3A%22%24%2B%2B+local+%24%2B%2B%22%5D,yes,32600,Wantirna,Years,yes,"6,684",no,,IELTS,year,,"We’ve designed our brand new Bachelor of Nursing to prepare you for the diversity and complexities of 21st century nursing. At Swinburne, you will benefit from our strengths in technology and innovation. Your clinical skills will be developed safely using simulation technology and realistic case studies, and you will undertake 800 hours of placement in a variety of clinical settings. Speciality study areas will include high acuity nursing, mental health services, aged and palliative care, rural and Indigenous health care, and family, paediatrics and primary health care. Small class sizes will provide you with individualised support and assessments will be approached with an authentic, real-world view – all to help you develop into a well-rounded professional. You’ll graduate as a registered nurse (RN) and be ready to pursue a career in a variety of settings, including tertiary hospitals, aged care, rural, remote or community health care.",65,,3,AUD,year 12
yes,yes,A,Australia,Swinburne University of Technology,yes,BA,Creative Arts & Design & Music,Bachelor of Design,English,yes,[],6.0,https://search.swinburne.edu.au/s/redirect?collection=swinburne-courses&url=https%3A%2F%2Fwww.swinburne.edu.au%2Fstudy%2Fcourse%2Fbachelor-of-design%2F&auth=1pgIJjd3PB2BJqdlEDf5og&profile=_default&rank=7&query=bachelor+-associate+AccreditationStatus%3Acurrent+%7CStudyLevel%3A%22%24%2B%2B+degrees+and+double+degrees+%24%2B%2B%22+%7CAccreditationStatus%3A%22%24%2B%2B+current+%24%2B%2B%22+%7C%5BResidency%3A%22%24%2B%2B+international+%24%2B%2B%22+Residency%3A%22%24%2B%2B+local+%24%2B%2B%22%5D,yes,32480,Hawthorn,Years,yes,"6,684",no,,IELTS,year,,"Designers don’t just make things beautiful and purposeful, they create the items that we come to rely on every day, the ideas that propel us forward and change the world. After all, where would we be without Times New Roman, WhatsApp, or the Nike tick? Whether you’re passionate about a particular path or still exploring what it is that interests you, our Bachelor of Design will give students skills and knowledge across a range of disciplines, with core subjects in 20th century design, typography, brand and identity design and more. As Victoria’s oldest design school, Swinburne gives its students access to academics who are experts in their fields, strong, industry partnerships and connections, and technical, real-world skills. Learn to think strategically about design problems and work collaboratively with clients towards solutions. No matter what type of design career you’re envisioning, a Bachelor of Design will give you the fundamental skills to work as a designer in the industry and role of your choice.",70,,3,AUD,year 12
no,yes,A,Australia,Swinburne University of Technology,yes,BA,Medical and Nursing,Bachelor of Nursing,English,yes,[],6.0,https://search.swinburne.edu.au/s/redirect?collection=swinburne-courses&url=https%3A%2F%2Fwww.swinburne.edu.au%2Fstudy%2Fcourse%2Finternational%2Fbachelor-of-nursing%2F&auth=JZO84MhO8a6GoqqAQdFSAw&profile=_default&rank=8&query=bachelor+-associate+AccreditationStatus%3Acurrent+%7CStudyLevel%3A%22%24%2B%2B+degrees+and+double+degrees+%24%2B%2B%22+%7CAccreditationStatus%3A%22%24%2B%2B+current+%24%2B%2B%22+%7C%5BResidency%3A%22%24%2B%2B+international+%24%2B%2B%22+Residency%3A%22%24%2B%2B+local+%24%2B%2B%22%5D,yes,32600,Hawthorn,Years,yes,"6,684",no,,IELTS,year,,"We’ve designed our brand new Bachelor of Nursing to prepare you for the diversity and complexities of 21st century nursing. At Swinburne, you will benefit from our strengths in technology and innovation. Your clinical skills will be developed safely using simulation technology and realistic case studies, and you will undertake 800 hours of placement in a variety of clinical settings. Speciality study areas will include high acuity nursing, mental health services, aged and palliative care, rural and Indigenous health care, and family, paediatrics and primary health care. Small class sizes will provide you with individualised support and assessments will be approached with an authentic, real-world view – all to help you develop into a well-rounded professional. You’ll graduate as a registered nurse (RN) and be ready to pursue a career in a variety of settings, including tertiary hospitals, aged care, rural, remote or community health care.",70,,3,AUD,year 12
no,yes,A,Australia,Swinburne University of Technology,yes,HONS,Aviation,Bachelor of Aviation (Honours),English,yes,[],6.0,https://search.swinburne.edu.au/s/redirect?collection=swinburne-courses&url=https%3A%2F%2Fwww.swinburne.edu.au%2Fstudy%2Fcourse%2Fbachelor-of-aviation-honours%2F&auth=4a3INGz8vUeCifmw2Etu9w&profile=_default&rank=9&query=bachelor+-associate+AccreditationStatus%3Acurrent+%7CStudyLevel%3A%22%24%2B%2B+degrees+and+double+degrees+%24%2B%2B%22+%7CAccreditationStatus%3A%22%24%2B%2B+current+%24%2B%2B%22+%7C%5BResidency%3A%22%24%2B%2B+international+%24%2B%2B%22+Residency%3A%22%24%2B%2B+local+%24%2B%2B%22%5D,yes,36800,Hawthorn,Year,yes,"9,527",no,,IELTS,year,,"The Bachelor of Aviation (Honours) course is designed to provide preparation for postgraduate study with a focus on developing research attributes, to enable graduates to undertake a higher degree by research. The Bachelor of Aviation (Honours) degree is undertaken as an additional year following the three-year Bachelor of Aviation or Bachelor of Aviation (Management) degree, or four-year Bachelor of Aviation / Bachelor of Business or Bachelor of Aviation (Management) / Bachelor of Business double degrees.",70,,1,AUD,year 12
